"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000144452.14",15814.0030875308,1.84490802959959,0.168370130643266,10.957454404478,6.1196546791072e-28,4.55688812631624e-25
"ENSG00000123999.4",1057.01637454977,1.91083179725109,0.561806074084148,3.40123022052781,0.000670833061289193,0.00889498233469495
"ENSG00000168918.13",1571.98532309997,3.36731449132798,0.646875862569495,5.20550338352781,1.93471421952952e-07,6.982738973955e-06
"ENSG00000123485.11",38298.4310322701,-1.71748608619224,0.325596928860351,-5.27488417106316,1.3283996254998e-07,5.12103485056435e-06
"ENSG00000204099.11",1077.41545145547,1.73598106587906,0.62106653832141,2.79516116030174,0.0051873848520489,0.0435681607234395
"ENSG00000125898.12",1442.02057861639,-2.04206609153777,0.351517566323006,-5.80928604194231,6.27398169914239e-09,3.13654745863839e-07
"ENSG00000101003.9",10613.261352969,-1.65933133637809,0.190646485576814,-8.70370797215418,3.21212939298478e-18,7.70257739863536e-16
"ENSG00000088325.15",36315.6257431526,-2.77181646370499,0.531423116456788,-5.21583720743239,1.829888350914e-07,6.72448321785227e-06
"ENSG00000101412.12",6132.27282003242,-1.63124367597313,0.3271786206974,-4.98578932968188,6.17093564416558e-07,2.02567047549082e-05
"ENSG00000149636.15",5192.5373480019,-1.58578964146156,0.279214245590411,-5.67947254305859,1.35110735615528e-08,6.32962479300823e-07
"ENSG00000132821.11",2652.3828410081,1.58728013407311,0.325346620166535,4.87873558748092,1.06768081944337e-06,3.26959918473697e-05
"ENSG00000101447.14",6787.27037056284,-2.66762527519773,0.474375201054338,-5.62345010714877,1.87180842556104e-08,8.54269213059278e-07
"ENSG00000101057.15",19317.9577120158,-3.12646308665024,0.465540287013711,-6.71577342254412,1.87071285655255e-11,1.56608553221926e-09
"ENSG00000175063.16",5273.86553299086,-2.86065426767927,0.727105762506529,-3.93430284174591,8.34385263227984e-05,0.00155327404001967
"ENSG00000087586.17",11279.3770296382,-2.56825715559642,0.427344763203434,-6.00980139862817,1.85750732671437e-09,1.05967797009496e-07
"ENSG00000160298.17",5601.92546520993,-1.50092908562532,0.240576437191611,-6.23888649755787,4.40696601605469e-10,2.78347121406883e-08
"ENSG00000093072.15",1219.82382768226,1.59898536292796,0.406089450722523,3.93752007121341,8.23280475437247e-05,0.00153462083879923
"ENSG00000179750.15",3492.89588634612,-3.20200878243338,0.337791806459787,-9.47923756941266,2.56147740117272e-21,9.79453574913287e-19
"ENSG00000075218.18",4467.049907144,-3.53461782306374,0.300528677534455,-11.7613329019441,6.17516500252039e-32,6.24044531826132e-29
"ENSG00000144554.10",11377.9178377253,-2.21926864939808,0.460210012729265,-4.82229544776038,1.41915532879202e-06,4.23590919657164e-05
"ENSG00000129810.14",3223.05838090379,-2.63434312214467,0.832514309610806,-3.16432173205071,0.00155444856292,0.0175098234619364
"ENSG00000163808.16",3838.6810867684,-2.40718148105007,0.415512533432332,-5.79328248215669,6.90238651432811e-09,3.42648997911278e-07
"ENSG00000164087.7",2866.00028285266,-2.13220677252642,0.466828185169711,-4.56743367316452,4.93731833347964e-06,0.000127514419365189
"ENSG00000163507.13",5727.50586942737,-1.61518659377522,0.510591887456293,-3.16336125476237,0.0015595867115828,0.0175537253742827
"ENSG00000051341.13",8925.80684969057,-2.50492914705684,0.466127174902986,-5.37391785316569,7.70439681707593e-08,3.13223580942501e-06
"ENSG00000221955.10",760.602056344757,2.32398698009287,0.739206618472235,3.14389363138549,0.00166716027222522,0.0185141158017601
"ENSG00000073111.13",22784.736538041,-1.86503266592052,0.376920145781689,-4.94808432712625,7.49474402825669e-07,2.40990087526763e-05
"ENSG00000172667.10",52739.4828492059,1.62142696180075,0.107409309955621,15.0957767298821,1.72642834962327e-51,8.14183609682336e-48
"ENSG00000145107.15",1066.11126514391,2.01649058467413,0.65359490423011,3.0852299667933,0.002033948229982,0.0215714389488646
"ENSG00000109805.9",9192.87488733287,-2.17678034098847,0.264786997951847,-8.22087322197116,2.02026742645384e-16,3.66445430121397e-14
"ENSG00000163071.10",6912.32482138048,2.50402753734775,0.216714646467189,11.554491485313,7.00609585696516e-31,5.83072024613783e-28
"ENSG00000138778.11",7650.55315846695,-2.45403124097672,0.24877713541496,-9.86437614889082,5.94025561825129e-23,3.36170945948077e-20
"ENSG00000164109.13",6322.81169066402,-1.71152577550102,0.254202662208952,-6.73291837555252,1.66293362555549e-11,1.4088134691233e-09
"ENSG00000145386.9",8795.62265592855,-2.6354914412087,0.413701074807209,-6.37052113639511,1.88386977532283e-10,1.30651909712095e-08
"ENSG00000142731.10",3581.13110893419,-2.24463961375373,0.29952566819883,-7.49398082391958,6.6815490108668e-14,8.22004829615161e-12
"ENSG00000196104.10",803.273622961452,-1.75017216472253,0.557031186802737,-3.14196441094836,0.00167818432928059,0.018585249171932
"ENSG00000164104.11",11168.8558251185,-1.70164045973528,0.531882305865949,-3.19928006810618,0.00137771259500882,0.0159247367599549
"ENSG00000151725.11",2300.93683208314,-2.52827234430157,0.421262400232125,-6.00165678899527,1.95314212473238e-09,1.10532219122855e-07
"ENSG00000179046.8",3386.92080850709,1.85996487547315,0.30908730227743,6.0176036406817,1.77017979224384e-09,1.01806925612463e-07
"ENSG00000071539.13",5631.79184378855,-2.61343499710974,0.277050804039048,-9.43305328484591,3.98321778822059e-21,1.4449888530191e-18
"ENSG00000035499.12",3164.57585504286,-2.44464912440575,0.41344735028369,-5.91284264545011,3.36253381503522e-09,1.82272522663288e-07
"ENSG00000123219.12",2853.54035166051,-1.77688794584349,0.464405058246981,-3.82615975922144,0.000130157836690401,0.00227342354752567
"ENSG00000134057.14",17472.8061089352,-2.60645549650306,0.212636096398578,-12.2578223577683,1.52544308302801e-34,2.15819687386802e-31
"ENSG00000113368.11",20154.7547647907,-1.76673331352574,0.182385835350466,-9.68679015084068,3.43143581966393e-22,1.51712356176891e-19
"ENSG00000112984.11",20671.0292683518,-3.04175369053964,0.43430365645435,-7.00374874891103,2.492028489019e-12,2.43153234914764e-10
"ENSG00000158402.18",2847.65513677542,-2.51355274120036,0.703438247069591,-3.57323866262804,0.000352593123929106,0.00527324261876215
"ENSG00000164611.12",16721.8449489333,-2.46276611683998,0.390930058688881,-6.29976145886484,2.98104056077572e-10,1.98942272895542e-08
"ENSG00000072571.19",7186.34609246943,-2.47378829313646,0.631218232950404,-3.91906976700217,8.88913833608412e-05,0.0016375459528505
"ENSG00000214357.8",4591.54934156796,-1.83308614070755,0.340120237690721,-5.38952387294994,7.06445956107123e-08,2.93235745350748e-06
"ENSG00000112312.9",4251.64013254825,-1.60310755250036,0.233983526286871,-6.8513693162095,7.31464027660275e-12,6.54984371097315e-10
